

0.807 0.303 -0.581 


0.763 0.315 -0.574 


0.716 0.329 -0.623 


0.714 0.336 -0.586 


0.735 0.397 -0.574 


0.748 0.482 -0.566 


0.747 0.575 -0.561 
0.842 1 0.774 -0.636 
0.842 0.774 -0.636 

0.843 1 0.833 -0.606 
0.859 0.833 -0.606 

0.845 1 0.886 -0.582 
0.867 0.904 -0.575 
0.747 5.405 2.520 
0.847 1 0.956 -0.549 
0.871 0.967 -0.544 
0.868 0.208 -1.397 0.598 5.405 2.520 
0.848 1 1.021 -0.512 
0.868 1.024 -0.507 
0.694 0.208 -1.397 
0.848 1 1.094 -0.460 
0.839 1.098 -0.450 
0.730 0.519 -1.675 
0.841 1 1.163 -0.400 
0.758 1.161 -0.392 
0.742 0.615 -1.649 
0.831 1 1.197 -0.355 
0.691 1.173 -0.361 
0.763 0.715 -1.574 
0.825 2 0.607 -1.497 0.817 1 1.218 -0.316 
0.825 0.607 -1.497 0.632 1.197 -0.326 

0.825 2 0.663 -1.456 0.807 1 1.291 -0.222 
0.821 0.663 -1.456 0.670 1.313 -0.194 

0.819 2 0.731 -1.407 0.798 1 1.346 -0.147 
0.740 0.753 -1.391 0.680 1.350 -0.146 

0.810 2 0.818 -1.342 0.786 1 1.412 -0.071 
0.687 0.831 -1.332 0.624 1.423 -0.074 
0.730 5.396 2.516 
0.803 2 0.875 -1.292 0.783 1 1.436 -0.005 
0.714 0.868 -1.294 
0.749 1.368 -0.044 0.584 5.396 2.516 
0.799 2 0.934 -1.237 0.787 1 1.509 0.047 
0.744 0.929 -1.236 0.842 1.543 0.010 

0.791 1 1.568 0.095 0.784 2 0.989 -1.188 
0.849 1.575 0.067 0.595 0.982 -1.193 

0.796 1 1.631 0.145 0.780 2 1.031 -1.075 
0.850 1.637 0.125 
0.715 0.996 -0.970 
0.800 1 1.673 0.188 0.777 2 1.058 -0.976 
0.860 1.655 0.169 
0.735 1.009 -0.954 
0.774 2 1.159 -0.897 0.804 1 1.717 0.236 
0.745 1.220 -0.917 0.858 1.709 0.228 

0.773 2 1.235 -0.825 0.808 1 1.757 0.288 
0.762 1.242 -0.845 0.853 1.746 0.289 

0.774 2 1.289 -0.776 0.811 1 1.790 0.340 
0.780 1.274 -0.810 0.851 1.777 0.341 

0.769 2 1.335 -0.732 0.814 1 1.827 0.402 
0.710 1.317 -0.761 0.864 1.823 0.414 

0.761 2 1.372 -0.689 0.811 1 1.865 0.459 
0.643 1.351 -0.711 0.762 1.865 0.465 

0.802 1 1.897 0.512 0.763 2 1.375 -0.620 
0.688 1.894 0.511 
0.789 1.261 -0.593 0.715 5.393 2.515 
0.758 2 1.420 -0.524 0.801 1 1.891 0.571 
0.705 1.436 -0.474 
0.781 1.805 0.582 0.572 5.393 2.515 
0.757 2 1.475 -0.450 0.800 1 1.885 0.621 
0.737 1.499 -0.448 
0.786 1.826 0.609 
0.757 2 1.531 -0.396 0.798 1 1.880 0.670 
0.752 1.550 -0.418 
0.780 1.858 0.659 
0.758 2 1.573 -0.353 0.795 1 1.882 0.725 
0.770 1.571 -0.380 
0.751 1.900 0.735 
