0.505 -1.006 0.814 
0.565 -1.056 0.878 
0.576 -1.074 0.774 
0.614 -1.134 0.843 
0.616 -1.157 0.891 
0.631 -1.179 0.733 1.196 3.352 0.704 
0.642 -1.218 0.770 
0.403 -1.155 0.927 0.650 -1.234 0.811 
0.460 -1.304 0.938 0.665 -1.255 0.760 
0.513 -1.441 0.942 0.684 -1.288 0.868 
0.528 -1.462 0.798 0.700 -1.330 0.892 2.103 -2.325 0.622 
0.544 -1.532 0.886 0.734 -1.392 0.782 1.201 3.367 0.641 
2.097 -2.318 0.582 1.151 3.251 0.881 
0.797 -1.468 0.797 1.173 3.181 0.853 
0.882 -1.578 0.819 1.201 3.068 0.954 
0.904 -1.607 0.888 2.107 -2.319 0.577 2.314 1.257 0.928 1.211 3.035 0.879 
0.912 -1.629 0.813 1.214 2.985 0.834 
0.601 -1.563 0.697 1.221 2.985 0.762 
1.212 2.927 0.784 
0.670 -1.608 0.940 0.962 -1.661 0.782 2.098 -2.319 0.594 1.200 2.880 0.814 
0.974 -1.672 0.789 2.111 -2.333 0.624 
0.753 -1.722 0.759 2.106 -2.318 0.583 1.420 2.774 0.728 1.213 2.857 0.774 
0.986 -1.689 0.824 2.144 -2.269 0.582 1.426 2.667 0.762 1.213 2.858 0.769 
0.758 -1.749 0.761 0.959 -1.662 0.736 1.429 2.579 0.778 1.217 2.832 0.762 
0.753 -1.730 0.737 1.208 2.778 0.805 
0.744 -1.712 0.708 1.231 2.765 0.795 
0.739 -1.711 0.649 1.448 2.399 0.688 1.243 2.652 0.816 
0.742 -1.707 0.701 2.320 1.260 0.905 1.239 2.542 0.823 
0.739 -1.702 0.753 0.966 -1.683 0.841 1.471 2.378 0.687 1.252 2.420 0.810 
0.738 -1.699 0.708 0.959 -1.671 0.835 1.265 2.261 0.812 
0.738 -1.698 0.675 0.960 -1.672 0.837 1.280 2.195 0.824 
0.736 -1.694 0.760 0.950 -1.656 0.752 1.273 2.086 0.833 
0.741 -1.704 0.811 0.972 -1.675 0.839 1.284 2.074 0.780 
0.751 -1.716 0.791 0.962 -1.642 0.793 1.251 2.005 0.903 
0.746 -1.698 0.804 1.262 2.011 0.775 
0.755 -1.687 0.870 0.976 -1.633 0.888 2.110 -2.323 0.588 1.245 1.984 0.806 
0.740 -1.616 0.891 0.976 -1.611 0.867 1.461 1.906 0.721 1.270 1.993 0.829 
0.740 -1.546 0.849 1.269 1.992 0.808 
0.739 -1.444 0.866 1.251 1.954 0.773 
