2.099 1.709 0.816 

2.044 1.500 0.869 
2.024 1.417 0.851 1.945 1.790 0.752 
1.995 1.353 0.842 1.931 1.715 0.781 
2.011 1.344 0.770 1.886 1.633 0.837 
2.006 1.356 0.742 1.842 1.519 0.839 
1.778 1.357 0.798 
1.763 1.269 0.810 
1.722 1.118 0.798 
1.712 1.069 0.834 
1.688 1.061 0.832 
1.863 0.975 0.646 
1.849 0.876 0.807 
1.800 0.733 0.791 1.697 1.015 0.810 
1.743 0.643 0.591 1.671 0.951 0.841 
1.722 0.594 0.672 1.630 0.891 0.838 

1.534 0.608 0.899 
1.514 0.406 0.804 
1.533 0.290 0.826 1.717 0.527 0.854 
1.497 0.224 0.837 1.710 0.462 0.824 

1.453 0.190 0.750 
1.572 -0.048 0.831 
1.538 -0.205 0.796 1.464 0.125 0.810 
1.491 -0.279 0.773 1.468 0.087 0.777 
1.446 -0.357 0.821 1.361 -0.035 0.759 
1.495 -0.372 0.878 1.350 -0.125 0.812 
1.195 -0.360 0.828 2.239 -0.415 0.773 
1.136 -0.544 0.831 1.488 -0.435 0.776 2.232 -0.423 0.815 4.150 -0.600 0.625 
1.101 -0.637 0.961 1.404 -0.442 0.766 
1.394 -0.555 0.824 
1.063 -0.744 0.763 1.337 -0.648 0.690 
1.056 -0.763 0.719 
1.053 -0.787 0.709 
1.088 -1.158 0.819 1.045 -0.808 0.807 
1.068 -1.275 0.759 1.014 -0.867 0.661 4.150 -0.601 0.636 
1.031 -1.270 0.764 1.004 -0.976 0.784 
0.883 -1.110 0.804 
0.814 -1.320 0.882 1.064 -1.328 0.859 
0.785 -1.491 0.851 1.060 -1.352 0.883 
0.753 -1.643 0.788 1.603 -2.655 0.809 1.002 -1.401 0.828 
0.739 -1.700 0.798 0.986 -1.453 0.846 
0.709 -1.702 0.687 0.942 -1.586 0.860 

0.721 -1.795 0.805 
0.699 -1.835 0.826 
0.684 -1.848 0.844 
0.645 -1.983 0.771 
0.529 -2.167 0.800 0.736 -2.276 0.841 
0.704 -2.354 0.731 
0.521 -2.561 0.824 0.702 -2.384 0.820 
0.667 -2.408 0.835 
0.649 -2.485 0.800 
0.646 -2.690 0.806 
0.622 -2.858 0.817 








4.155 -0.601 0.619 

















0.692 -3.291 0.808 

0.797 -2.894 0.784 
0.601 -2.986 0.795 0.799 -2.766 0.753 
0.597 -2.867 0.886 0.822 -2.671 0.847 
0.825 -2.642 0.868 
0.678 -2.533 0.804 
0.807 -2.561 0.844 0.863 -2.290 0.813 
0.961 -2.247 0.789 
1.030 -2.182 0.791 
1.002 -2.147 0.763 
1.021 -2.161 0.740 
0.988 -2.132 0.761 1.170 -1.925 0.827 
0.999 -2.130 0.735 1.102 -1.831 0.857 
0.912 -1.932 0.865 1.075 -1.790 0.690 
0.849 -1.830 0.758 1.081 -1.772 0.805 
0.730 -1.710 0.684 1.055 -1.746 0.848 
0.602 -1.568 0.731 0.993 -1.690 0.829 
0.933 -1.642 0.854 
0.546 -1.531 0.838 0.833 -1.499 0.746 
0.549 -1.546 0.764 0.736 -1.385 0.886 
0.517 -1.499 0.869 0.619 -1.235 0.772 
0.545 -1.133 0.729 
0.434 -1.334 0.731 0.549 -1.086 0.522 
0.548 -1.091 0.530 
0.383 -0.927 0.840 
0.462 -0.733 0.752 
0.557 -0.944 0.787 0.554 -0.640 0.722 
0.566 -0.624 0.773 
0.538 -0.620 0.824 
0.596 -0.604 0.799 0.937 -0.652 0.703 
0.651 -0.598 0.870 1.031 -0.635 0.674 
0.800 -0.491 0.732 
0.951 -0.445 0.746 
1.038 -0.642 0.955 1.148 -0.430 0.885 2.204 -0.491 0.709 
1.064 -0.614 0.794 1.377 -0.434 0.830 2.226 -0.456 0.870 
1.208 -0.624 0.890 1.445 -0.417 0.950 
1.402 -0.605 0.961 1.445 -0.386 0.897 
1.603 -0.598 0.890 1.469 -0.385 0.933 
1.482 -0.378 0.922 
1.562 -0.369 0.864 
1.694 -0.293 0.799 
1.847 -0.176 0.830 
1.933 -0.392 0.856 1.926 -0.110 0.806 
1.954 -0.352 0.881 2.017 -0.061 0.759 
2.103 -0.260 0.757 2.106 -0.001 0.819 


4.159 -0.593 0.683 2.057 0.015 0.835 2.208 0.244 0.825 
2.046 0.042 0.763 2.192 0.313 0.757 

1.916 0.240 0.824 2.098 0.433 0.879 
1.772 0.369 0.767 
1.670 0.426 0.747 
1.628 0.445 0.830 
1.566 0.401 0.678 
1.651 0.627 0.645 
1.542 0.406 0.577 1.443 0.682 0.839 
1.467 0.438 0.768 1.269 0.665 0.767 
1.392 0.454 0.837 1.236 0.682 0.904 
1.183 0.483 0.870 1.217 0.698 0.712 
0.974 0.524 0.904 
1.185 0.653 0.772 0.818 0.574 0.943 
1.092 0.682 0.587 0.763 0.603 0.793 
0.758 0.621 0.895 
0.718 0.614 0.855 
0.729 0.670 0.909 0.731 0.908 0.749 
0.686 0.714 0.819 
0.605 0.829 0.872 

0.780 0.973 0.729 0.705 1.208 0.900 
0.788 0.986 0.832 
0.845 1.020 0.922 
0.999 1.060 0.895 0.964 1.277 0.872 
1.120 1.062 0.930 0.965 1.264 0.836 
1.365 1.058 0.872 
1.440 1.066 0.879 1.097 1.263 0.766 
1.486 1.073 0.858 1.244 1.274 0.855 
1.502 1.071 0.655 1.457 1.255 0.762 
1.508 1.065 0.561 
1.591 1.066 0.808 
1.672 1.004 0.864 
1.865 0.944 0.791 1.928 1.165 0.893 
2.139 0.965 0.827 1.967 1.164 0.870 
2.266 0.967 0.664 2.017 1.177 0.853 
2.390 1.020 0.854 2.107 1.180 0.781 
2.417 1.007 0.729 2.204 1.191 0.844 
2.406 1.002 0.805 2.391 1.252 0.798 
2.439 1.028 0.805 2.612 1.339 0.697 
2.492 1.071 0.830 2.627 1.331 0.730 
2.635 1.147 0.801 2.668 1.374 0.855 
2.702 1.361 0.689 
2.648 1.371 0.855 
2.663 1.401 0.966 
2.975 1.427 0.817 2.708 1.471 0.828 
2.689 1.537 0.827 
2.962 1.510 0.699 2.686 1.631 0.843 
2.959 1.567 0.633 2.654 1.692 0.823 
2.893 1.636 0.725 2.617 1.708 0.813 

2.624 1.689 0.846 2.652 1.874 0.910 
2.619 1.693 0.889 2.518 1.941 0.862 
2.398 1.960 0.793 
2.467 1.728 0.851 2.241 1.923 0.982 
2.357 1.745 0.825 2.251 1.930 0.935 
2.142 1.774 0.881 
1.969 1.820 0.852 
2.197 1.942 0.880 1.843 1.835 0.799 

1.744 1.871 0.748 
1.706 2.044 0.857 
1.514 2.028 0.905 
1.394 2.027 0.860 
1.576 1.838 0.859 1.249 1.960 0.879 
1.197 1.954 0.915 
1.172 1.940 0.786 
1.089 1.607 0.876 
0.998 1.542 0.912 
0.915 1.516 0.895 
0.881 1.452 0.765 0.941 1.811 0.823 
0.881 1.445 0.846 0.787 1.660 0.664 
0.876 1.444 0.805 0.634 1.493 0.756 
0.844 1.425 0.635 0.523 1.350 0.722 
0.794 1.370 0.781 0.464 1.155 0.634 
0.779 1.309 0.794 0.443 1.113 0.585 
0.712 1.129 0.677 
0.647 0.931 0.671 0.428 1.107 0.774 
0.605 0.794 0.823 0.432 1.082 0.697 
0.560 0.668 0.702 0.420 1.000 0.670 
0.414 0.957 0.774 
0.372 0.848 0.954 
0.313 0.598 0.687 
0.304 0.467 0.809 
0.323 0.339 0.505 



0.484 0.093 0.576 
