1.631 1.836 0.949 1.429 1.967 0.887 
1.621 1.824 0.871 1.427 1.965 0.893 
1.634 1.831 0.825 1.430 1.959 0.848 
1.633 1.830 0.932 1.424 1.951 0.866 
1.651 1.834 0.867 1.430 1.942 0.805 
1.642 1.808 0.900 1.419 1.909 0.870 
1.647 1.814 0.929 1.413 1.875 0.869 
1.650 1.818 0.921 1.417 1.847 0.774 
1.392 1.719 0.788 
1.391 1.636 0.791 
1.379 1.524 0.794 
1.376 1.490 0.824 
1.375 1.463 0.810 
1.355 1.409 0.839 
1.351 1.413 0.874 
1.552 1.362 0.846 1.342 1.371 0.878 
1.549 1.227 0.893 1.339 1.375 0.867 
1.552 1.112 0.944 1.362 1.393 0.772 
1.592 1.015 0.799 1.348 1.349 0.888 
1.553 0.943 0.929 1.378 1.339 0.750 
1.596 0.904 0.744 1.344 1.233 0.838 
1.604 0.890 0.736 1.346 1.161 0.817 
1.610 0.875 0.787 1.354 1.063 0.714 
1.552 0.825 0.812 1.335 0.843 0.838 
1.360 0.690 0.836 
1.373 0.549 0.773 1.557 0.793 0.856 
1.357 0.468 0.860 1.557 0.781 0.871 
1.386 0.439 0.844 1.557 0.755 0.952 
1.341 0.356 0.918 1.557 0.689 0.967 
1.334 0.343 0.987 1.571 0.588 0.934 
1.342 0.326 0.891 
1.354 0.333 0.977 
1.550 0.101 0.793 1.343 0.313 0.722 
1.529 -0.064 0.901 1.365 0.279 0.844 
1.530 -0.134 0.835 1.333 0.233 0.904 
1.539 -0.210 0.813 1.326 0.146 0.968 
1.524 -0.231 0.827 1.311 0.072 0.912 
1.528 -0.245 0.852 1.308 -0.016 0.913 
1.299 -0.252 0.937 
1.274 -0.413 0.962 1.513 -0.266 0.861 
1.282 -0.578 0.903 1.499 -0.291 0.900 
1.249 -0.623 0.889 1.486 -0.305 0.858 
1.276 -0.682 0.851 1.485 -0.350 0.863 
1.250 -0.722 0.939 1.474 -0.444 0.894 
1.259 -0.749 0.809 1.464 -0.547 0.908 
1.272 -0.768 0.810 
1.249 -0.765 0.873 
1.250 -0.782 0.903 
1.436 -1.158 0.853 1.241 -0.802 0.916 
1.413 -1.207 0.810 1.241 -0.842 0.931 
1.237 -0.937 0.909 
1.257 -1.024 0.835 
1.276 -1.139 0.822 
1.233 -1.346 0.879 1.443 -1.315 0.863 
1.241 -1.526 0.850 1.453 -1.336 0.861 
1.229 -1.640 0.930 1.452 -1.359 0.805 
1.235 -1.715 0.806 1.418 -1.370 0.849 
1.235 -1.763 0.733 1.437 -1.429 0.844 
1.215 -1.791 0.887 1.423 -1.519 0.870 
1.229 -1.840 0.720 1.406 -1.619 0.929 
1.213 -1.832 0.787 1.417 -1.822 0.754 
1.195 -1.823 0.760 
1.221 -1.862 0.793 
1.231 -1.885 0.681 
1.228 -1.908 0.831 
1.235 -1.995 0.732 
1.212 -2.059 0.832 
1.224 -2.152 0.792 
1.212 -2.327 0.884 1.393 -2.330 0.814 
1.208 -2.476 0.735 1.420 -2.363 0.761 
1.186 -2.559 0.840 1.407 -2.366 0.873 
1.189 -2.623 0.809 1.393 -2.366 0.886 
1.213 -2.661 0.868 1.393 -2.389 0.871 
1.189 -2.654 0.793 1.393 -2.437 0.906 
1.192 -2.676 0.863 1.416 -2.503 0.816 
1.189 -2.669 0.881 1.403 -2.545 0.847 
1.181 -2.685 0.856 
1.183 -2.688 0.895 1.436 -2.743 0.876 
1.186 -2.679 0.870 1.411 -2.830 0.855 
1.197 -2.705 0.836 
1.200 -2.712 0.779 
1.198 -2.708 0.902 
1.201 -2.713 0.893 1.408 -2.902 0.802 
1.247 -2.720 0.903 
1.286 -2.696 0.857 
1.353 -2.713 0.739 
1.381 -2.694 0.867 
1.389 -2.682 0.895 
1.403 -2.680 0.913 
1.392 -2.660 0.801 
1.410 -2.678 0.941 
1.332 -2.921 0.937 1.416 -2.676 0.901 
1.303 -2.908 0.910 1.414 -2.672 0.908 
1.265 -2.874 0.767 
1.262 -2.885 0.909 1.403 -2.680 0.875 
1.416 -2.706 0.796 
1.248 -2.887 0.839 1.421 -2.713 0.876 
1.254 -2.901 0.916 
1.264 -2.924 0.676 1.429 -2.731 0.797 
1.251 -2.892 0.862 1.433 -2.724 0.815 
1.245 -2.879 0.867 1.464 -2.767 0.800 
1.248 -2.870 0.840 1.445 -2.761 0.828 
1.259 -2.877 0.919 1.463 -2.781 0.965 
1.274 -2.876 0.842 1.468 -2.775 0.886 
1.272 -2.840 0.868 1.481 -2.771 0.904 
1.275 -2.814 0.758 1.487 -2.782 0.878 
1.265 -2.759 0.822 1.488 -2.784 0.827 
1.273 -2.683 0.871 
1.268 -2.615 0.844 
1.270 -2.561 0.799 
1.279 -2.523 0.736 
1.278 -2.494 0.724 
1.255 -2.450 0.799 
1.254 -2.448 0.812 1.471 -2.613 0.843 
1.254 -2.435 0.884 
1.262 -2.437 0.866 1.462 -2.434 0.869 
1.260 -2.432 0.911 1.446 -2.325 0.847 
1.253 -2.407 0.815 1.472 -2.192 0.863 
1.260 -2.395 0.886 1.491 -2.129 0.696 
1.271 -2.376 0.810 1.463 -2.052 0.937 
1.276 -2.325 0.787 1.471 -1.998 0.906 
1.275 -2.277 0.775 1.497 -2.004 0.712 
1.278 -2.149 0.805 1.497 -1.978 0.829 
1.292 -2.009 0.766 1.499 -1.971 0.765 
1.294 -1.856 0.767 
1.302 -1.728 0.718 
1.316 -1.654 0.741 
1.442 -1.897 0.736 1.292 -1.539 0.874 
1.306 -1.530 0.754 
1.300 -1.515 0.757 
1.265 -1.474 0.846 
1.257 -1.452 0.768 1.488 -1.520 0.891 
1.260 -1.437 0.821 1.485 -1.343 0.910 
1.260 -1.424 0.815 1.480 -1.232 0.892 
1.289 -1.432 0.795 1.480 -1.141 0.884 
1.290 -1.400 0.796 1.503 -1.081 0.802 
1.281 -1.361 0.871 1.505 -1.044 0.849 
1.299 -1.299 0.789 1.533 -1.015 0.832 
1.299 -1.201 0.808 1.511 -0.967 0.850 
1.302 -1.079 0.803 1.529 -0.964 0.892 
1.305 -0.906 0.848 1.509 -0.934 0.733 
1.323 -0.807 0.839 
1.520 -0.926 0.931 1.329 -0.667 0.854 
1.540 -0.925 0.809 1.338 -0.596 0.856 
1.526 -0.878 0.868 1.337 -0.558 0.916 
1.535 -0.821 0.909 1.324 -0.519 0.836 
1.525 -0.760 0.870 1.328 -0.507 0.915 
1.314 -0.485 0.900 
1.322 -0.481 0.872 1.536 -0.458 0.712 
1.316 -0.463 0.874 1.553 -0.340 0.835 
1.311 -0.449 0.836 1.555 -0.226 0.823 
1.333 -0.447 0.929 1.571 -0.154 0.829 
1.330 -0.410 0.786 1.563 -0.085 0.864 
1.361 -0.365 0.874 1.562 -0.041 0.843 
1.339 -0.285 0.840 1.563 -0.021 0.844 
1.353 -0.193 0.868 1.582 -0.007 0.844 
1.371 -0.090 0.967 
1.548 0.007 0.809 1.372 0.111 0.963 
1.554 0.024 0.887 1.397 0.245 0.922 
1.567 0.041 0.891 1.381 0.328 0.869 
