1.760 -0.220 0.730 1.997 -0.092 0.822 
1.910 -0.248 0.721 1.984 -0.091 0.848 
2.046 -0.269 0.863 1.982 -0.082 0.792 
2.161 -0.284 0.840 1.956 -0.081 0.854 
2.230 -0.288 0.882 1.962 -0.073 0.815 
2.327 -0.291 0.837 1.982 -0.065 0.816 
2.365 -0.275 0.820 1.960 -0.043 0.764 
2.387 -0.251 0.863 1.967 -0.021 0.791 
2.407 -0.226 0.810 1.967 0.001 0.715 
2.423 -0.196 0.818 1.962 0.021 0.655 
2.424 -0.159 0.859 2.026 0.048 0.799 
2.416 -0.121 0.789 2.100 0.077 0.701 
2.389 -0.073 0.854 2.185 0.109 0.712 
2.387 -0.026 0.793 2.330 0.153 0.721 
2.359 0.021 0.865 2.472 0.184 0.875 
2.371 0.068 0.805 2.593 0.227 0.813 
2.358 0.098 0.812 2.662 0.257 0.789 
2.374 0.130 0.786 2.703 0.278 0.866 
2.390 0.152 0.776 
2.344 0.164 0.849 
2.363 0.165 0.842 
2.396 0.151 0.736 
2.409 0.135 0.775 
2.424 0.111 0.829 
2.493 0.059 0.792 
2.546 0.005 0.847 2.802 0.129 0.789 
2.546 0.005 0.847 2.802 0.129 0.789 
2.705 -0.083 0.743 2.781 0.073 0.837 
2.838 -0.180 0.828 2.780 0.018 0.845 
2.940 -0.277 0.865 2.771 -0.042 0.841 
3.000 -0.368 0.862 2.774 -0.103 0.841 
3.077 -0.474 0.867 2.793 -0.177 0.846 
3.095 -0.560 0.858 2.764 -0.218 0.844 
3.109 -0.632 0.884 2.792 -0.281 0.796 
3.099 -0.701 0.856 2.788 -0.336 0.714 
3.097 -0.758 0.857 2.774 -0.384 0.782 
2.849 -0.452 0.882 
3.067 -0.822 0.880 2.898 -0.518 0.841 
3.048 -0.845 0.853 2.959 -0.582 0.780 
3.027 -0.839 0.852 3.076 -0.668 0.712 
3.019 -0.823 0.855 3.202 -0.739 0.841 
3.010 -0.807 0.856 
3.012 -0.779 0.853 
3.028 -0.755 0.857 
3.045 -0.731 0.854 
3.044 -0.682 0.799 
3.062 -0.658 0.917 
3.117 -0.628 0.811 
3.166 -0.552 0.820 
3.294 -0.545 0.814 
3.392 -0.560 0.788 
3.498 -0.609 0.801 3.525 -0.401 0.830 
3.593 -0.642 0.865 3.513 -0.369 0.834 
3.654 -0.686 0.861 3.513 -0.369 0.861 
3.722 -0.749 0.849 3.533 -0.387 0.822 
3.735 -0.802 0.838 3.505 -0.392 0.900 
3.747 -0.856 0.837 3.519 -0.432 0.768 
3.742 -0.890 0.842 3.513 -0.479 0.903 
3.739 -0.923 0.833 3.516 -0.487 0.790 
3.737 -0.940 0.863 3.575 -0.543 0.811 
3.721 -0.919 0.846 3.604 -0.587 0.822 
3.721 -0.919 0.846 3.604 -0.587 0.822 
3.714 -0.900 0.840 3.649 -0.644 0.847 
3.689 -0.894 0.838 3.754 -0.739 0.864 
3.679 -0.892 0.828 
3.666 -0.889 0.847 
3.661 -0.887 0.852 
3.671 -0.890 0.847 
3.681 -0.926 0.818 4.142 -0.880 0.882 
4.149 -0.844 0.887 
3.736 -0.983 0.800 4.146 -0.787 0.885 
3.816 -1.013 0.811 4.111 -0.762 0.883 
3.892 -0.979 0.794 4.099 -0.723 0.873 
4.007 -0.934 0.909 4.071 -0.709 0.922 
4.073 -0.672 0.915 
4.059 -0.661 0.984 
4.051 -0.623 0.963 
4.048 -0.587 0.937 4.343 -0.418 0.879 
4.064 -0.535 0.928 4.356 -0.257 0.917 
4.071 -0.536 0.926 4.328 -0.161 0.900 
4.074 -0.482 0.914 4.310 -0.066 0.927 
4.074 -0.428 0.908 4.277 -0.009 0.885 
4.074 -0.428 0.908 4.277 -0.009 0.885 
4.266 0.056 0.945 
4.225 0.120 0.900 
4.205 0.147 0.959 
4.180 0.183 0.969 
3.998 0.140 0.889 
3.955 0.320 0.962 
4.104 0.251 0.982 3.917 0.446 0.964 
4.087 0.277 0.953 3.886 0.546 0.983 
4.051 0.319 0.983 3.843 0.626 0.917 
4.031 0.362 0.962 3.813 0.690 0.957 
4.010 0.369 0.928 3.771 0.750 0.896 
3.982 0.419 0.928 3.748 0.805 0.972 
3.953 0.477 0.871 3.713 0.849 0.985 
3.685 0.876 0.978 
3.654 0.869 0.969 
3.631 0.880 0.989 
3.610 0.875 0.991 
3.580 0.868 0.956 
3.556 0.862 0.941 
3.531 0.856 0.923 3.660 1.119 0.946 
3.509 0.867 0.962 3.619 1.193 0.903 
3.509 0.867 0.962 3.619 1.193 0.903 
3.488 0.886 0.961 3.579 1.285 0.889 
3.470 0.857 0.899 3.562 1.323 0.958 
3.447 0.884 0.953 3.517 1.350 0.863 
3.432 0.888 0.940 3.496 1.360 0.901 
3.486 1.382 0.968 
3.456 1.388 0.992 
3.437 1.363 0.970 
3.260 1.227 0.958 
3.223 1.377 0.901 
3.383 1.290 0.981 3.169 1.453 0.934 
